Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner
"Las Vegas, Nevada, USA",Michael Morales,Jake Matthews,0,0,84,57,0,0,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night,18-Nov-23,Michael Morales
"Las Vegas, Nevada, USA",Chase Hooper,Jordan Leavitt,0,0,1,3,0,0,1,0,Lightweight,SUB Rear Naked Choke,1,2:58,UFC Fight Night,18-Nov-23,Chase Hooper
"Las Vegas, Nevada, USA",Payton Talbott,Nick Aguirre,0,0,28,5,0,2,1,0,Bantamweight,SUB Rear Naked Choke,3,0:58,UFC Fight Night,18-Nov-23,Payton Talbott
"Las Vegas, Nevada, USA",Amanda Ribas,Luana Pinheiro,1,0,87,55,0,1,0,0,Women's Strawweight,KO/TKO Punches,3,3:53,UFC Fight Night,18-Nov-23,Amanda Ribas
"Las Vegas, Nevada, USA",Myktybek Orolbai,Uros Medic,0,0,8,14,7,0,1,0,Welterweight,SUB Neck Crank,2,4:12,UFC Fight Night,18-Nov-23,Myktybek Orolbai
"Las Vegas, Nevada, USA",Joanderson Brito,Jonathan Pearce,0,0,8,14,1,1,1,0,Featherweight,SUB Guillotine Choke,2,3:54,UFC Fight Night,18-Nov-23,Joanderson Brito
"Las Vegas, Nevada, USA",Jose Johnson,Chad Anheliger,0,0,63,26,1,4,1,0,Bantamweight,SUB Rear Naked Choke,3,4:49,UFC Fight Night,18-Nov-23,Jose Johnson
"Las Vegas, Nevada, USA",Christian Leroy Duncan,Denis Tiuliulin,1,0,65,30,0,0,0,0,Middleweight,KO/TKO Punches,2,4:24,UFC Fight Night,18-Nov-23,Christian Leroy Duncan
"Las Vegas, Nevada, USA",Mick Parkin,Caio Machado,0,0,39,76,3,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night,18-Nov-23,Mick Parkin
"Las Vegas, Nevada, USA",Jeka Saragih,Lucas Alexander,1,0,4,11,1,0,0,0,Featherweight,KO/TKO Punch,1,1:31,UFC Fight Night,18-Nov-23,Jeka Saragih
"Las Vegas, Nevada, USA",Ailin Perez,Lucie Pudilova,0,0,42,20,2,0,0,1,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night,18-Nov-23,Ailin Perez
"Las Vegas, Nevada, USA",Trey Ogden,Nikolas Motta,0,0,58,14,3,0,1,0,Lightweight,Overturned,3,3:11,UFC Fight Night,18-Nov-23,Trey Ogden
"Las Vegas, Nevada, USA",Rafael Estevam,Charles Johnson,0,0,18,72,3,0,1,0,Flyweight,U-DEC,3,5:00,UFC Fight Night,18-Nov-23,Rafael Estevam
"New York City, New York, USA",Alex Pereira,Jiri Prochazka,1,0,38,30,0,1,1,0,Light Heavyweight,KO/TKO Elbows,2,4:08,UFC 295,11-Nov-23,Alex Pereira
"New York City, New York, USA",Tom Aspinall,Sergei Pavlovich,1,0,10,1,0,0,0,0,Heavyweight,KO/TKO Punch,1,1:09,UFC 295,11-Nov-23,Tom Aspinall
"New York City, New York, USA",Jessica Andrade,Mackenzie Dern,4,0,53,49,0,0,0,0,Women's Strawweight,KO/TKO Punch,2,3:15,UFC 295,11-Nov-23,Jessica Andrade
"New York City, New York, USA",Benoit Saint Denis,Matt Frevola,1,0,6,5,0,2,0,0,Lightweight,KO/TKO Kick,1,1:31,UFC 295,11-Nov-23,Benoit Saint Denis
"New York City, New York, USA",Diego Lopes,Pat Sabatini,1,0,13,7,0,0,0,0,Featherweight,KO/TKO Punches,1,1:30,UFC 295,11-Nov-23,Diego Lopes
"New York City, New York, USA",Steve Erceg,Alessandro Costa,0,0,74,54,1,1,1,0,Flyweight,U-DEC,3,5:00,UFC 295,11-Nov-23,Steve Erceg
"New York City, New York, USA",Loopy Godinez,Tabatha Ricci,0,0,98,84,0,0,0,0,Women's Strawweight,S-DEC,3,5:00,UFC 295,11-Nov-23,Loopy Godinez
"New York City, New York, USA",Mateusz Rebecki,Roosevelt Roberts,0,0,10,2,2,0,1,0,Lightweight,SUB Armbar,1,3:08,UFC 295,11-Nov-23,Mateusz Rebecki
"New York City, New York, USA",Nazim Sadykhov,Viacheslav Borshchev,1,0,91,143,4,0,0,0,Lightweight,M-DEC,3,5:00,UFC 295,11-Nov-23,Nazim Sadykhov
"New York City, New York, USA",Jared Gordon,Mark Madsen,1,0,36,35,0,0,0,0,Lightweight,KO/TKO Punch,1,4:42,UFC 295,11-Nov-23,Jared Gordon
"New York City, New York, USA",John Castaneda,Kyung Ho Kang,0,0,111,88,3,0,0,0,Catch Weight,U-DEC,3,5:00,UFC 295,11-Nov-23,John Castaneda
"New York City, New York, USA",Joshua Van,Kevin Borjas,0,0,156,75,2,0,0,0,Flyweight,U-DEC,3,5:00,UFC 295,11-Nov-23,Joshua Van
"New York City, New York, USA",Jamall Emmers,Dennis Buzukja,1,0,14,3,0,0,0,0,Featherweight,KO/TKO Punch,1,0:49,UFC 295,11-Nov-23,Jamall Emmers
"Sao Paulo, Sao Paulo, Brazil",Jailton Almeida,Derrick Lewis,0,0,38,20,6,0,4,0,Heavyweight,U-DEC,5,5:00,UFC Fight Night,4-Nov-23,Jailton Almeida
"Sao Paulo, Sao Paulo, Brazil",Nicolas Dalby,Gabriel Bonfim,1,0,53,39,0,3,0,1,Welterweight,KO/TKO Knees,2,4:33,UFC Fight Night,4-Nov-23,Nicolas Dalby
"Sao Paulo, Sao Paulo, Brazil",Rodrigo Nascimento,Don'Tale Mayes,0,0,70,79,0,0,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night,4-Nov-23,Rodrigo Nascimento
"Sao Paulo, Sao Paulo, Brazil",Caio Borralho,Abus Magomedov,1,0,51,38,0,0,0,0,Middleweight,U-DEC,3,5:00,UFC Fight Night,4-Nov-23,Caio Borralho
"Sao Paulo, Sao Paulo, Brazil",Elves Brener,Kaynan Kruschewsky,1,0,16,8,0,0,0,0,Catch Weight,KO/TKO Punch,1,4:01,UFC Fight Night,4-Nov-23,Elves Brener
"Sao Paulo, Sao Paulo, Brazil",Rinat Fakhretdinov,Elizeu Zaleski dos Santos,1,0,87,75,1,0,0,1,Welterweight,M-DEC,3,5:00,UFC Fight Night,4-Nov-23,Rinat Fakhretdinov
"Sao Paulo, Sao Paulo, Brazil",Vitor Petrino,Modestas Bukauskas,1,0,8,9,1,0,0,0,Light Heavyweight,KO/TKO Punch,2,1:03,UFC Fight Night,4-Nov-23,Vitor Petrino
"Sao Paulo, Sao Paulo, Brazil",Angela Hill,Denise Gomes,0,0,76,62,5,1,0,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night,4-Nov-23,Angela Hill
"Sao Paulo, Sao Paulo, Brazil",Eduarda Moura,Montserrat Conejo Ruiz,0,0,57,5,3,0,0,0,Women's Strawweight,KO/TKO Punches,2,2:14,UFC Fight Night,4-Nov-23,Eduarda Moura
"Sao Paulo, Sao Paulo, Brazil",Marc Diakiese,Kaue Fernandes,0,0,13,23,3,1,0,0,Lightweight,S-DEC,3,5:00,UFC Fight Night,4-Nov-23,Marc Diakiese
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Islam Makhachev,Alexander Volkanovski,1,0,24,4,0,0,0,0,Lightweight,KO/TKO Kick,1,3:06,UFC 294,21-Oct-23,Islam Makhachev
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Khamzat Chimaev,Kamaru Usman,0,0,38,36,4,0,1,0,Middleweight,M-DEC,3,5:00,UFC 294,21-Oct-23,Khamzat Chimaev
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Magomed Ankalaev,Johnny Walker,0,0,13,14,1,0,0,0,Light Heavyweight,CNC,1,3:13,UFC 294,21-Oct-23,Magomed Ankalaev
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Ikram Aliskerov,Warlley Alves,1,0,26,12,0,0,0,0,Middleweight,KO/TKO Punches,1,2:07,UFC 294,21-Oct-23,Ikram Aliskerov
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Said Nurmagomedov,Muin Gafurov,0,0,5,1,0,0,1,0,Bantamweight,SUB Guillotine Choke,1,1:13,UFC 294,21-Oct-23,Said Nurmagomedov
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Muhammad Mokaev,Tim Elliott,0,0,14,30,3,1,1,2,Flyweight,SUB Arm Triangle,3,3:03,UFC 294,21-Oct-23,Muhammad Mokaev
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Trevor Peek,Mohammad Yahya,0,0,61,43,4,1,0,1,Lightweight,U-DEC,3,5:00,UFC 294,21-Oct-23,Trevor Peek
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Javid Basharat,Victor Henry,0,0,30,25,1,0,0,0,Bantamweight,CNC,2,0:15,UFC 294,21-Oct-23,Javid Basharat
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Sedriques Dumas,Abu Azaitar,0,0,34,41,1,2,0,0,Middleweight,U-DEC,3,5:00,UFC 294,21-Oct-23,Sedriques Dumas
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Mike Breeden,Anshul Jubli,1,0,92,103,0,0,0,0,Lightweight,KO/TKO Punch,3,3:00,UFC 294,21-Oct-23,Mike Breeden
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Muhammad Naimov,Nathaniel Wood,0,0,48,50,4,2,0,0,Featherweight,U-DEC,3,5:00,UFC 294,21-Oct-23,Muhammad Naimov
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Viktoriia Dudakova,Jinh Yu Frey,1,0,74,47,0,1,0,0,Women's Strawweight,U-DEC,3,5:00,UFC 294,21-Oct-23,Viktoriia Dudakova
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Shara Magomedov,Bruno Silva,0,0,113,65,0,3,0,0,Middleweight,U-DEC,3,5:00,UFC 294,21-Oct-23,Shara Magomedov
"Las Vegas, Nevada, USA",Edson Barboza,Sodiq Yusuff,1,1,164,178,3,1,0,0,Featherweight,U-DEC,5,5:00,UFC Fight Night,14-Oct-23,Edson Barboza
"Las Vegas, Nevada, USA",Viviane Araujo,Jennifer Maia,0,0,24,41,2,2,1,0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night,14-Oct-23,Viviane Araujo
"Las Vegas, Nevada, USA",Jonathan Martinez,Adrian Yanez,2,0,36,20,0,0,0,0,Bantamweight,KO/TKO Kicks,2,2:26,UFC Fight Night,14-Oct-23,Jonathan Martinez
"Las Vegas, Nevada, USA",Michel Pereira,Andre Petroski,1,0,6,0,0,0,0,0,Middleweight,KO/TKO Punch,1,1:06,UFC Fight Night,14-Oct-23,Michel Pereira
"Las Vegas, Nevada, USA",Christian Rodriguez,Cameron Saaiman,0,0,83,73,3,0,2,1,Bantamweight,U-DEC,3,5:00,UFC Fight Night,14-Oct-23,Christian Rodriguez
"Las Vegas, Nevada, USA",Darren Elkins,TJ Brown,0,0,11,15,5,2,2,0,Featherweight,SUB Rear Naked Choke,3,2:23,UFC Fight Night,14-Oct-23,Darren Elkins
"Las Vegas, Nevada, USA",Tainara Lisboa,Ravena Oliveira,0,0,18,15,3,2,0,0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night,14-Oct-23,Tainara Lisboa
"Las Vegas, Nevada, USA",Terrance McKinney,Brendon Marotte,1,0,14,1,0,0,0,0,Lightweight,KO/TKO Knee,1,0:20,UFC Fight Night,14-Oct-23,Terrance McKinney
"Las Vegas, Nevada, USA",Melissa Dixon,Irina Alekseeva,0,1,52,48,0,1,0,0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night,14-Oct-23,Melissa Dixon
"Las Vegas, Nevada, USA",Chris Gutierrez,Alatengheili,0,0,110,38,0,2,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night,14-Oct-23,Chris Gutierrez
"Las Vegas, Nevada, USA",Emily Ducote,Ashley Yoder,0,0,117,102,1,0,0,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night,14-Oct-23,Emily Ducote
"Las Vegas, Nevada, USA",Bobby Green,Grant Dawson,1,0,7,0,0,0,0,0,Lightweight,KO/TKO Punch,1,0:33,UFC Fight Night,7-Oct-23,Bobby Green
"Las Vegas, Nevada, USA",Joe Pyfer,Abdul Razak Alhassan,0,0,26,11,3,0,2,1,Middleweight,SUB Arm Triangle,2,2:05,UFC Fight Night,7-Oct-23,Joe Pyfer
"Las Vegas, Nevada, USA",Joaquin Buckley,Alex Morono,0,0,68,40,2,1,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night,7-Oct-23,Joaquin Buckley
"Las Vegas, Nevada, USA",Drew Dober,Ricky Glenn,1,0,30,5,0,0,0,0,Lightweight,KO/TKO Punches,1,2:36,UFC Fight Night,7-Oct-23,Drew Dober
"Las Vegas, Nevada, USA",Bill Algeo,Alexander Hernandez,1,0,110,75,1,0,0,0,Featherweight,U-DEC,3,5:00,UFC Fight Night,7-Oct-23,Bill Algeo
"Las Vegas, Nevada, USA",Karolina Kowalkiewicz,Diana Belbita,0,0,141,99,1,2,0,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night,7-Oct-23,Karolina Kowalkiewicz
"Las Vegas, Nevada, USA",Nate Maness,Mateus Mendonca,0,0,29,3,0,0,0,0,Flyweight,KO/TKO Punches,1,4:40,UFC Fight Night,7-Oct-23,Nate Maness
"Las Vegas, Nevada, USA",Vanessa Demopoulos,Kanako Murata,0,0,31,34,0,5,0,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night,7-Oct-23,Vanessa Demopoulos
"Las Vegas, Nevada, USA",Aoriqileng,Johnny Munoz,1,0,44,7,2,4,0,3,Bantamweight,U-DEC,3,5:00,UFC Fight Night,7-Oct-23,Aoriqileng
"Las Vegas, Nevada, USA",JJ Aldrich,Montana De La Rosa,0,0,65,67,0,0,0,0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night,7-Oct-23,JJ Aldrich
"Las Vegas, Nevada, USA",Mateusz Gamrot,Rafael Fiziev,0,0,16,18,1,0,0,0,Lightweight,KO/TKO,2,2:03,UFC Fight Night,23-Sep-23,Mateusz Gamrot
"Las Vegas, Nevada, USA",Bryce Mitchell,Dan Ige,0,0,23,18,5,0,1,0,Featherweight,U-DEC,3,5:00,UFC Fight Night,23-Sep-23,Bryce Mitchell
"Las Vegas, Nevada, USA",Marina Rodriguez,Michelle Waterson-Gomez,0,0,70,13,1,1,0,0,Women's Strawweight,KO/TKO Punches,2,2:42,UFC Fight Night,23-Sep-23,Marina Rodriguez
"Las Vegas, Nevada, USA",Bryan Battle,AJ Fletcher,0,0,45,25,1,0,1,0,Welterweight,SUB Rear Naked Choke,2,4:32,UFC Fight Night,23-Sep-23,Bryan Battle
"Las Vegas, Nevada, USA",Charles Jourdain,Ricardo Ramos,0,0,8,0,0,2,1,1,Featherweight,SUB Guillotine Choke,1,3:12,UFC Fight Night,23-Sep-23,Charles Jourdain
"Las Vegas, Nevada, USA",Miles Johns,Dan Argueta,0,0,43,33,2,2,0,2,Bantamweight,U-DEC,3,5:00,UFC Fight Night,23-Sep-23,Miles Johns
"Las Vegas, Nevada, USA",Tim Means,Andre Fialho,2,0,104,51,0,1,0,0,Welterweight,KO/TKO Punches,3,1:15,UFC Fight Night,23-Sep-23,Tim Means
"Las Vegas, Nevada, USA",Cody Brundage,Jacob Malkoun,0,0,2,28,1,1,0,0,Middleweight,DQ,1,4:15,UFC Fight Night,23-Sep-23,Cody Brundage
"Las Vegas, Nevada, USA",Mohammed Usman,Jake Collier,0,0,85,87,1,0,0,2,Heavyweight,U-DEC,3,5:00,UFC Fight Night,23-Sep-23,Mohammed Usman
"Las Vegas, Nevada, USA",Mizuki,Hannah Goldy,0,0,55,47,1,1,0,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night,23-Sep-23,Mizuki
"Las Vegas, Nevada, USA",Montserrat Rendon,Tamires Vidal,0,0,69,60,3,0,0,1,Women's Bantamweight,S-DEC,3,5:00,UFC Fight Night,23-Sep-23,Montserrat Rendon
"Las Vegas, Nevada, USA",Alexa Grasso,Valentina Shevchenko,1,0,84,80,1,4,1,1,Women's Flyweight,S-DEC,5,5:00,UFC Fight Night,16-Sep-23,Alexa Grasso
"Las Vegas, Nevada, USA",Jack Della Maddalena,Kevin Holland,0,0,105,127,0,0,0,0,Welterweight,S-DEC,3,5:00,UFC Fight Night,16-Sep-23,Jack Della Maddalena
"Las Vegas, Nevada, USA",Raul Rosas Jr.,Terrence Mitchell,1,0,18,6,0,0,0,0,Bantamweight,KO/TKO Punches,1,0:54,UFC Fight Night,16-Sep-23,Raul Rosas Jr.
"Las Vegas, Nevada, USA",Daniel Zellhuber,Christos Giagos,0,0,36,38,0,0,1,0,Lightweight,SUB Anaconda Choke,2,3:26,UFC Fight Night,16-Sep-23,Daniel Zellhuber
"Las Vegas, Nevada, USA",Kyle Nelson,Fernando Padilla,0,0,82,72,0,0,0,0,Featherweight,U-DEC,3,5:00,UFC Fight Night,16-Sep-23,Kyle Nelson
"Las Vegas, Nevada, USA",Loopy Godinez,Elise Reed,1,0,21,3,5,0,6,0,Women's Strawweight,SUB Rear Naked Choke,2,3:38,UFC Fight Night,16-Sep-23,Loopy Godinez
"Las Vegas, Nevada, USA",Roman Kopylov,Josh Fremd,1,0,49,38,0,0,0,0,Middleweight,KO/TKO Punch,2,4:44,UFC Fight Night,16-Sep-23,Roman Kopylov
"Las Vegas, Nevada, USA",Edgar Chairez,Daniel Lacerda,0,0,12,4,0,1,1,0,Flyweight,Overturned,1,3:47,UFC Fight Night,16-Sep-23,Edgar Chairez
"Las Vegas, Nevada, USA",Tracy Cortez,Jasmine Jasudavicius,0,0,103,77,0,2,0,0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night,16-Sep-23,Tracy Cortez
"Las Vegas, Nevada, USA",Charlie Campbell,Alex Reyes,1,0,43,14,0,0,0,0,Lightweight,KO/TKO Punches,1,3:38,UFC Fight Night,16-Sep-23,Charlie Campbell
"Las Vegas, Nevada, USA",Josefine Knutsson,Marnic Mann,0,0,81,8,3,0,0,0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night,16-Sep-23,Josefine Knutsson
"Sydney, New South Wales, Australia",Sean Strickland,Israel Adesanya,1,0,137,94,0,0,0,0,Middleweight,U-DEC,5,5:00,UFC 293,9-Sep-23,Sean Strickland
"Sydney, New South Wales, Australia",Alexander Volkov,Tai Tuivasa,1,0,93,28,0,0,1,0,Heavyweight,SUB Ezekiel Choke,2,4:37,UFC 293,9-Sep-23,Alexander Volkov
"Sydney, New South Wales, Australia",Manel Kape,Felipe dos Santos,1,0,112,99,1,0,0,0,Flyweight,U-DEC,3,5:00,UFC 293,9-Sep-23,Manel Kape
"Sydney, New South Wales, Australia",Justin Tafa,Austen Lane,1,0,11,7,0,0,0,0,Heavyweight,KO/TKO Punch,1,1:22,UFC 293,9-Sep-23,Justin Tafa
"Sydney, New South Wales, Australia",Tyson Pedro,Anton Turkalj,1,0,16,8,0,0,0,0,Light Heavyweight,KO/TKO Punch,1,2:12,UFC 293,9-Sep-23,Tyson Pedro
"Sydney, New South Wales, Australia",Carlos Ulberg,Da Woon Jung,1,0,81,58,1,1,1,0,Light Heavyweight,SUB Rear Naked Choke,3,4:49,UFC 293,9-Sep-23,Carlos Ulberg
"Sydney, New South Wales, Australia",Chepe Mariscal,Jack Jenkins,0,0,38,41,1,0,0,0,Featherweight,KO/TKO,2,3:19,UFC 293,9-Sep-23,Chepe Mariscal
"Sydney, New South Wales, Australia",Jamie Mullarkey,John Makdessi,0,0,88,83,0,0,0,0,Lightweight,U-DEC,3,5:00,UFC 293,9-Sep-23,Jamie Mullarkey
"Sydney, New South Wales, Australia",Nasrat Haqparast,Landon Quinones,0,0,171,148,0,0,0,0,Lightweight,U-DEC,3,5:00,UFC 293,9-Sep-23,Nasrat Haqparast
"Sydney, New South Wales, Australia",Charles Radtke,Blood Diamond,0,0,35,44,1,0,0,0,Welterweight,U-DEC,3,5:00,UFC 293,9-Sep-23,Charles Radtke
"Sydney, New South Wales, Australia",Gabriel Miranda,Shane Young,0,0,2,1,1,0,1,0,Featherweight,SUB Rear Naked Choke,1,0:59,UFC 293,9-Sep-23,Gabriel Miranda
"Sydney, New South Wales, Australia",Kevin Jousset,Kiefer Crosbie,0,0,29,39,1,0,1,0,Welterweight,SUB Rear Naked Choke,1,4:49,UFC 293,9-Sep-23,Kevin Jousset
"Paris, Ile-de-France, France",Ciryl Gane,Serghei Spivac,0,0,109,11,0,0,0,0,Heavyweight,KO/TKO Punches,2,3:44,UFC Fight Night,2-Sep-23,Ciryl Gane
"Paris, Ile-de-France, France",Manon Fiorot,Rose Namajunas,0,0,58,60,0,0,0,0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night,2-Sep-23,Manon Fiorot
"Paris, Ile-de-France, France",Benoit Saint Denis,Thiago Moises,0,0,101,24,5,1,0,1,Lightweight,KO/TKO Punches,2,4:44,UFC Fight Night,2-Sep-23,Benoit Saint Denis
"Paris, Ile-de-France, France",Volkan Oezdemir,Bogdan Guskov,1,0,26,8,1,0,1,0,Light Heavyweight,SUB Rear Naked Choke,1,3:46,UFC Fight Night,2-Sep-23,Volkan Oezdemir
"Paris, Ile-de-France, France",William Gomis,Yanis Ghemmouri,0,0,52,28,0,0,2,0,Featherweight,KO/TKO Kick,3,2:20,UFC Fight Night,2-Sep-23,William Gomis
"Paris, Ile-de-France, France",Morgan Charriere,Manolo Zecchini,1,0,26,9,0,0,0,0,Featherweight,KO/TKO Kicks,1,3:51,UFC Fight Night,2-Sep-23,Morgan Charriere
"Paris, Ile-de-France, France",Taylor Lapilus,Caolan Loughran,0,0,84,48,0,2,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night,2-Sep-23,Taylor Lapilus
"Paris, Ile-de-France, France",Ange Loosa,Rhys McKee,0,0,98,77,6,0,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night,2-Sep-23,Ange Loosa
"Paris, Ile-de-France, France",Nora Cornolle,Joselyne Edwards,0,0,40,18,0,5,0,1,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night,2-Sep-23,Nora Cornolle
"Paris, Ile-de-France, France",Farid Basharat,Kleydson Rodrigues,0,0,4,7,2,0,1,0,Bantamweight,SUB Arm Triangle,1,4:15,UFC Fight Night,2-Sep-23,Farid Basharat
"Paris, Ile-de-France, France",Jacqueline Cavalcanti,Zarah Fairn,0,0,126,39,0,0,0,0,Catch Weight,U-DEC,3,5:00,UFC Fight Night,2-Sep-23,Jacqueline Cavalcanti
"Kallang, Singapore",Max Holloway,Chan Sung Jung,2,0,75,34,0,0,1,0,Featherweight,KO/TKO Punch,3,0:23,UFC Fight Night,26-Aug-23,Max Holloway
"Kallang, Singapore",Anthony Smith,Ryan Spann,0,0,91,59,1,0,0,0,Light Heavyweight,S-DEC,3,5:00,UFC Fight Night,26-Aug-23,Anthony Smith
"Kallang, Singapore",Giga Chikadze,Alex Caceres,0,0,65,62,0,0,0,0,Featherweight,U-DEC,3,5:00,UFC Fight Night,26-Aug-23,Giga Chikadze
"Kallang, Singapore",Rinya Nakamura,Fernie Garcia,0,0,36,15,4,0,3,1,Bantamweight,U-DEC,3,5:00,UFC Fight Night,26-Aug-23,Rinya Nakamura
"Kallang, Singapore",Erin Blanchfield,Taila Santos,0,0,61,55,0,0,0,0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night,26-Aug-23,Erin Blanchfield
"Kallang, Singapore",Junior Tafa,Parker Porter,1,0,8,2,0,0,0,0,Heavyweight,KO/TKO Punch,1,1:24,UFC Fight Night,26-Aug-23,Junior Tafa
"Kallang, Singapore",Waldo Cortes-Acosta,Lukasz Brzeski,1,0,15,14,0,0,0,0,Heavyweight,KO/TKO Punches,1,3:01,UFC Fight Night,26-Aug-23,Waldo Cortes-Acosta
"Kallang, Singapore",Garrett Armfield,Toshiomi Kazama,1,0,45,15,0,0,0,0,Bantamweight,KO/TKO Punches,1,4:16,UFC Fight Night,26-Aug-23,Garrett Armfield
"Kallang, Singapore",Michal Oleksiejczuk,Chidi Njokuani,0,0,44,29,1,0,0,0,Middleweight,KO/TKO Punches,1,4:16,UFC Fight Night,26-Aug-23,Michal Oleksiejczuk
"Kallang, Singapore",Song Kenan,Rolando Bedoya,1,0,75,112,0,0,0,0,Welterweight,U-DEC,3,5:00,UFC Fight Night,26-Aug-23,Song Kenan
"Kallang, Singapore",Billy Goff,Yusaku Kinoshita,1,0,40,17,0,0,0,0,Welterweight,KO/TKO Punch,1,3:49,UFC Fight Night,26-Aug-23,Billy Goff
"Kallang, Singapore",JJ Aldrich,Liang Na,0,0,47,11,0,3,0,0,Women's Flyweight,KO/TKO Elbows,2,4:49,UFC Fight Night,26-Aug-23,JJ Aldrich
"Kallang, Singapore",SeungWoo Choi,Jarno Errens,1,1,56,30,1,0,0,0,Featherweight,U-DEC,3,5:00,UFC Fight Night,26-Aug-23,SeungWoo Choi
